Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,
Rice,1997.0,Kharif     ,Uttar Pradesh,5726527.0,12262794.0,473.9,544993574.6,1775223.37,2.037,
Rice,1997.0,Summer     ,Uttar Pradesh,6607.0,18281.0,473.9,628788.19,2048.17,2.202903226,
Rice,1998.0,Kharif     ,Uttar Pradesh,5875153.0,11374070.0,743.4,580465116.4,1703794.37,1.865060241,
Rice,1998.0,Summer     ,Uttar Pradesh,5629.0,12643.0,743.4,556145.2,1632.41,2.015172414,
Rice,1999.0,Kharif     ,Uttar Pradesh,6079822.0,13230539.0,883.4,645251508.9,1641551.94,1.991707317,
Rice,1999.0,Summer     ,Uttar Pradesh,6052.0,16186.0,883.4,642298.76,1634.04,2.190384615,
Rice,2000.0,Kharif     ,Uttar Pradesh,5904128.0,11672250.0,874.4,579608245.8,1535073.28,1.894782609,
Rice,2000.0,Summer     ,Uttar Pradesh,3023.0,6899.0,874.4,296767.91,785.98,2.083181818,
Rice,2001.0,Kharif     ,Uttar Pradesh,6068496.0,12849116.0,849.9,619775496.5,1577808.96,2.016086957,
Rice,2001.0,Summer     ,Uttar Pradesh,2829.0,6741.0,849.9,288925.77,735.54,2.097777778,
Rice,2003.0,Kharif     ,Uttar Pradesh,5719933.0,12476923.0,1075.6,566158968.3,1372783.92,2.066285714,
Rice,2003.0,Summer     ,Uttar Pradesh,7839.0,18016.0,1075.6,775904.22,1881.36,2.1595,
Rice,2006.0,Kharif     ,Uttar Pradesh,5902577.0,11082993.0,590.5,753818108.7,1298566.94,1.846,
Rice,2006.0,Summer     ,Uttar Pradesh,18175.0,40620.0,590.5,2321129.25,3998.5,1.995,
Rice,2007.0,Kharif     ,Uttar Pradesh,5690539.0,11731754.0,672.9,759117902.6,910486.24,1.962,
Rice,2007.0,Summer     ,Uttar Pradesh,18849.0,48358.0,672.9,2514456.6,3015.84,2.152142857,
Rice,2008.0,Kharif     ,Uttar Pradesh,6011761.0,13051365.0,891.6,859922293.4,541058.49,2.124428571,
Rice,2008.0,Summer     ,Uttar Pradesh,21621.0,45666.0,891.6,3092667.84,1945.89,2.095,
Rice,2009.0,Kharif     ,Uttar Pradesh,5148046.0,10714990.0,585.8,802168527.7,875167.82,2.00971831,
Rice,2009.0,Summer     ,Uttar Pradesh,24695.0,61514.0,585.8,3847974.9,4198.15,2.13,
Rice,2010.0,Kharif     ,Uttar Pradesh,5631949.0,11938078.0,742.6,935523048.4,1351667.76,2.052916667,
Rice,2010.0,Summer     ,Uttar Pradesh,25121.0,54221.0,742.6,4172849.31,6029.04,2.032222222,
Rice,2011.0,Kharif     ,Uttar Pradesh,5922643.0,13962896.0,777.4,992161155.4,1954472.19,2.294444444,
Rice,2011.0,Summer     ,Uttar Pradesh,23642.0,59496.0,777.4,3960507.84,7801.86,2.335909091,
Rice,2012.0,Kharif     ,Uttar Pradesh,5837298.0,14353736.0,746.3,880264538.4,1809562.38,2.4092,
Rice,2012.0,Summer     ,Uttar Pradesh,23984.0,62203.0,746.3,3616787.2,7435.04,2.434761905,
Rice,2013.0,Kharif     ,Uttar Pradesh,5955306.0,14565665.0,995.2,860482163.9,1607932.62,2.396133333,
Rice,2013.0,Summer     ,Uttar Pradesh,27063.0,70171.0,995.2,3910332.87,7307.01,2.479047619,
Rice,2014.0,Kharif     ,Uttar Pradesh,5842029.0,13241518.0,616.4,881912697.8,1927869.57,2.240533333,
Rice,2014.0,Summer     ,Uttar Pradesh,29947.0,75449.0,616.4,4520799.12,9882.51,2.384090909,
Rice,2015.0,Kharif     ,Uttar Pradesh,5837445.0,12434053.0,596.7,921790939.9,1926356.85,2.096133333,
Rice,2015.0,Summer     ,Uttar Pradesh,24595.0,67107.0,596.7,3883796.45,8116.35,2.295,
Rice,2016.0,Kharif     ,Uttar Pradesh,5965657.0,14396168.0,965.3,914236935.3,2087979.95,2.3668,
Rice,2016.0,Summer     ,Uttar Pradesh,26051.0,74184.0,965.3,3992315.75,9117.85,2.484117647,
Rice,2017.0,Kharif     ,Uttar Pradesh,5897871.0,15441958.0,652.1,928560810.2,2241190.98,2.541333333,
Rice,2017.0,Summer     ,Uttar Pradesh,25761.0,76645.0,652.1,4055811.84,9789.18,2.67,
Rice,2018.0,Kharif     ,Uttar Pradesh,5894983.0,15932429.0,792.8,956166242.6,2063244.05,2.6056,
Rice,2018.0,Summer     ,Uttar Pradesh,29145.0,87266.0,792.8,4727319.0,10200.75,2.662631579,
Rice,2019.0,Kharif     ,Uttar Pradesh,5898690.0,16947998.0,814.5,1013158994.0,2182515.3,2.823466667,
Rice,2019.0,Summer     ,Uttar Pradesh,25659.0,79891.0,814.5,4407189.84,9493.83,2.968717949,
Rice,2002.0,Kharif     ,Uttar Pradesh,5209137.0,9586935.0,664.0,493148999.8,1302284.25,1.765942029,
Rice,2002.0,Summer     ,Uttar Pradesh,4292.0,9411.0,664.0,406323.64,1073.0,1.960952381,
Rice,2004.0,Kharif     ,Uttar Pradesh,5934405.0,10749989.0,704.0,642933437.7,1246225.05,1.827714286,
Rice,2005.0,Kharif     ,Uttar Pradesh,5571524.0,11119095.0,751.9,668137158.1,1170020.04,1.951714286,
Rice,2010.0,Kharif     ,Jammu and Kashmir,261347.0,507404.0,1352.0,43412350.17,62723.28,1.874,
Rice,1999.0,Kharif     ,Jammu and Kashmir,250625.0,391529.0,667.1,26598831.25,67668.75,1.489166667,
Rice,2000.0,Kharif     ,Jammu and Kashmir,244051.0,415342.0,989.5,23958486.67,63453.26,1.6,
Rice,2001.0,Kharif     ,Jammu and Kashmir,249830.0,422298.0,953.8,25515137.9,64955.8,1.634166667,
Rice,2002.0,Kharif     ,Jammu and Kashmir,236199.0,421457.0,933.2,22360959.33,59049.75,1.708333333,
Rice,2003.0,Kharif     ,Jammu and Kashmir,259815.0,504797.0,1430.3,25716488.7,62355.6,1.870833333,
Rice,2004.0,Kharif     ,Jammu and Kashmir,250044.0,492732.0,1032.1,27089766.96,52509.24,1.838333333,
Rice,2005.0,Kharif     ,Jammu and Kashmir,259014.0,556774.0,1721.8,31060958.88,54392.94,2.040833333,
Rice,2006.0,Kharif     ,Jammu and Kashmir,252516.0,554258.0,1786.5,32248818.36,55553.52,2.060833333,
Rice,2007.0,Kharif     ,Jammu and Kashmir,263246.0,561355.0,1042.2,35117016.4,42119.36,1.9745,
Rice,2009.0,Kharif     ,Jammu and Kashmir,259892.0,500880.0,751.7,40496371.44,44181.64,1.859,
Rice,2011.0,Kharif     ,Jammu and Kashmir,262169.0,544396.0,887.6,43918550.88,86515.77,2.0225,
Rice,2012.0,Kharif     ,Jammu and Kashmir,261663.0,545186.0,1116.7,39458780.4,81115.53,1.8875,
Rice,2014.0,Kharif     ,Jammu and Kashmir,275861.0,344823.0,1278.4,41643976.56,91034.13,1.098947368,
Rice,2015.0,Kharif     ,Jammu and Kashmir,304503.0,646362.0,1572.6,48084068.73,100485.99,2.05,
Rice,2016.0,Kharif     ,Jammu and Kashmir,283443.0,572213.0,902.8,43437639.75,99205.05,2.0255,
Rice,2017.0,Kharif     ,Jammu and Kashmir,273582.0,663755.0,1279.1,43072750.08,103961.16,2.31,
Rice,2018.0,Kharif     ,Jammu and Kashmir,262012.0,615799.0,1016.3,42498346.4,91704.2,2.35,
Rice,2019.0,Kharif     ,Jammu and Kashmir,280513.0,587099.0,1324.1,48180912.88,103789.81,2.0755,
Rice,1997.0,Kharif     ,Jammu and Kashmir,275746.0,5488.0,1356.2,26242746.82,85481.26,0.016666667,
Rice,2000.0,Kharif     ,Uttarakhand,285545.0,579074.0,1413.4,28031952.65,74241.7,1.649230769,
Rice,2000.0,Rabi       ,Uttarakhand,3062.0,9578.0,1413.4,300596.54,796.12,3.125,
Rice,2001.0,Kharif     ,Uttarakhand,280816.0,567662.0,1541.3,28679738.08,73012.16,1.608461538,
Rice,2001.0,Rabi       ,Uttarakhand,3761.0,11855.0,1541.3,384110.93,977.86,2.2625,
Rice,2002.0,Kharif     ,Uttarakhand,271219.0,511526.0,1610.3,25676302.73,67804.75,1.461538462,
Rice,2002.0,Rabi       ,Uttarakhand,4090.0,11649.0,1610.3,387200.3,1022.5,2.8,
Rice,2003.0,Kharif     ,Uttarakhand,271671.0,520831.0,1734.3,26889995.58,65201.04,1.640769231,
Rice,2003.0,Summer     ,Uttarakhand,5655.0,21126.0,1734.3,559731.9,1357.2,3.66,
Rice,2004.0,Kharif     ,Uttarakhand,281464.0,537876.0,1219.6,30493809.76,59107.44,1.592307692,
Rice,2004.0,Summer     ,Uttarakhand,7511.0,22367.0,1219.6,813741.74,1577.31,2.975,
Rice,2005.0,Kharif     ,Uttarakhand,275459.0,526520.0,1353.3,33033043.28,57846.39,1.62,
Rice,2005.0,Summer     ,Uttarakhand,8971.0,42646.0,1353.3,1075802.32,1883.91,3.89,
Rice,2006.0,Kharif     ,Uttarakhand,273662.0,540128.0,1178.9,34949374.02,60205.64,1.645384615,
Rice,2006.0,Rabi       ,Uttarakhand,9923.0,31208.0,1178.9,1267266.33,2183.06,3.145,
Rice,2007.0,Kharif     ,Uttarakhand,259805.0,523203.0,1924.3,34657987.0,41568.8,1.709230769,
Rice,2007.0,Summer     ,Uttarakhand,12364.0,41864.0,1924.3,1649357.6,1978.24,3.423333333,
Rice,2008.0,Kharif     ,Uttarakhand,275711.0,528524.0,1363.7,39437701.44,24813.99,1.627692308,
Rice,2008.0,Summer     ,Uttarakhand,12654.0,39797.0,1363.7,1810028.16,1138.86,3.1,
Rice,2009.0,Kharif     ,Uttarakhand,270608.0,551716.0,847.8,42166138.56,46003.36,1.613846154,
Rice,2009.0,Rabi       ,Uttarakhand,13775.0,39300.0,847.8,2146420.5,2341.75,2.85,
Rice,2010.0,Kharif     ,Uttarakhand,270416.0,495083.0,1419.0,44918801.76,64899.84,1.540769231,
Rice,2010.0,Rabi       ,Uttarakhand,15277.0,50503.0,1419.0,2537662.47,3666.48,2.25,
Rice,2011.0,Kharif     ,Uttarakhand,261319.0,544497.0,1564.7,43776158.88,86235.27,1.684615385,
Rice,2011.0,Summer     ,Uttarakhand,13680.0,45267.0,1564.7,2291673.6,4514.4,3.31,
Rice,2012.0,Kharif     ,Uttarakhand,255037.0,561339.0,1309.8,38459579.6,79061.47,1.750769231,
Rice,2012.0,Summer     ,Uttarakhand,14200.0,45552.0,1309.8,2141360.0,4402.0,3.21,
Rice,2013.0,Kharif     ,Uttarakhand,246959.0,551758.0,1735.4,35683105.91,66678.93,1.736153846,
Rice,2013.0,Summer     ,Uttarakhand,12420.0,41310.0,1735.4,1794565.8,3353.4,3.353333333,
Rice,2014.0,Kharif     ,Uttarakhand,247698.0,561856.0,1287.4,37392490.08,81740.34,1.738461538,
Rice,2014.0,Summer     ,Uttarakhand,12394.0,39004.0,1287.4,1870998.24,4090.02,3.15,
Rice,2015.0,Kharif     ,Uttarakhand,252163.0,591755.0,1247.6,39819059.33,83213.79,1.795384615,
Rice,2015.0,Summer     ,Uttarakhand,13043.0,50137.0,1247.6,2059620.13,4304.19,3.81,
Rice,2016.0,Kharif     ,Uttarakhand,251498.0,582720.0,1580.9,38542068.5,88024.3,1.779230769,
Rice,2016.0,Summer     ,Uttarakhand,14703.0,55577.0,1580.9,2253234.75,5146.05,3.77,
Rice,2017.0,Kharif     ,Uttarakhand,246539.0,620027.0,1475.8,38815100.16,93684.82,1.909230769,
Rice,2017.0,Summer     ,Uttarakhand,13953.0,44845.0,1475.8,2196760.32,5302.14,3.223333333,
Rice,2018.0,Kharif     ,Uttarakhand,243666.0,574963.0,1373.0,39522625.2,85283.1,1.804615385,
Rice,2018.0,Summer     ,Uttarakhand,15682.0,51570.0,1373.0,2543620.4,5488.7,3.283333333,
Rice,2019.0,Kharif     ,Uttarakhand,240411.0,615514.0,1378.9,41292993.36,88952.07,1.933846154,
Rice,2019.0,Summer     ,Uttarakhand,17370.0,61915.0,1378.9,2983471.2,6426.9,3.563333333,
Rice,2020.0,Kharif     ,Uttarakhand,241936.0,669372.0,1313.947826,46841228.96,89516.32,2.093076923,
Rice,2020.0,Summer     ,Uttarakhand,15315.0,55057.0,1313.947826,2965137.15,5666.55,3.563333333,
Rice,1997.0,Kharif     ,Punjab,2281000.0,7904000.0,690.1,217082770.0,707110.0,3.476470588,
Rice,1998.0,Kharif     ,Punjab,2519000.0,7940000.0,588.6,248877200.0,730510.0,3.099411765,
Rice,1999.0,Kharif     ,Punjab,2604000.0,8716000.0,364.4,276362520.0,703080.0,3.332352941,
Rice,2000.0,Kharif     ,Punjab,2611000.0,9154000.0,405.3,256321870.0,678860.0,3.501764706,
Rice,2001.0,Kharif     ,Punjab,2487000.0,8816000.0,479.3,253997310.0,646620.0,3.517058824,
Rice,2002.0,Kharif     ,Punjab,2530000.0,8880000.0,301.8,239515100.0,632500.0,3.438823529,
Rice,2003.0,Kharif     ,Punjab,2614000.0,9656000.0,451.7,258733720.0,627360.0,3.678235294,
Rice,2004.0,Kharif     ,Punjab,2800000.0,10437000.0,366.4,303352000.0,588000.0,3.788823529,
Rice,2005.0,Kharif     ,Punjab,2642000.0,10193000.0,566.7,316828640.0,554820.0,3.820588235,
Rice,2006.0,Kharif     ,Punjab,2621000.0,10138000.0,569.6,334727910.0,576620.0,3.75,
Rice,2007.0,Kharif     ,Punjab,2610000.0,10489000.0,527.2,348174000.0,417600.0,3.968,
Rice,2008.0,Kharif     ,Punjab,2735000.0,11000000.0,691.3,391214400.0,246150.0,3.9855,
Rice,2009.0,Kharif     ,Punjab,2802000.0,11236000.0,371.3,436607640.0,476340.0,3.9775,
Rice,2010.0,Kharif     ,Punjab,2831000.0,10837000.0,392.7,470257410.0,679440.0,3.834,
Rice,2011.0,Kharif     ,Punjab,2818000.0,10542000.0,705.2,472071360.0,929940.0,3.7495,
Rice,2012.0,Kharif     ,Punjab,2849000.0,11390000.0,338.9,429629200.0,883190.0,3.923636364,
Rice,2013.0,Kharif     ,Punjab,2851000.0,11267000.0,586.6,411940990.0,769770.0,3.834090909,
Rice,2014.0,Kharif     ,Punjab,2894000.0,11107000.0,382.7,436878240.0,955020.0,3.728181818,
Rice,2015.0,Kharif     ,Punjab,2975000.0,11823000.0,512.6,469782250.0,981750.0,3.923181818,
Rice,2016.0,Kharif     ,Punjab,3046000.0,12638000.0,635.9,466799500.0,1066100.0,4.066818182,
Rice,2017.0,Kharif     ,Punjab,3065000.0,13382000.0,497.5,482553600.0,1164700.0,4.252727273,
Rice,2018.0,Kharif     ,Punjab,3103000.0,12822000.0,585.5,503306600.0,1086050.0,4.011818182,
Rice,2019.0,Kharif     ,Punjab,3142000.0,12675000.0,653.2,539669920.0,1162540.0,3.930909091,
Rice,1998.0,Kharif     ,Haryana,1086694.0,2432000.0,687.6,107365367.2,315141.26,2.286666667,
Rice,1999.0,Kharif     ,Haryana,1083052.0,2563000.0,344.0,114944308.8,292424.04,2.235,
Rice,2000.0,Kharif     ,Haryana,1054282.0,2695000.0,383.7,103498863.9,274113.32,2.443157895,
Rice,2001.0,Kharif     ,Haryana,1027505.0,2726000.0,483.8,104939085.6,267151.3,2.645555556,
Rice,2002.0,Kharif     ,Haryana,905651.0,2468000.0,353.9,85737980.17,226412.75,2.495,
Rice,2003.0,Kharif     ,Haryana,1015191.0,2790000.0,592.3,100483605.2,243645.84,2.733333333,
Rice,2004.0,Kharif     ,Haryana,1024236.0,3010000.0,484.6,110965728.2,215089.56,2.832777778,
Rice,2005.0,Kharif     ,Haryana,1046588.0,3194000.0,516.9,125506833.0,219783.48,2.940526316,
Rice,2006.0,Kharif     ,Haryana,1042036.0,3371000.0,329.3,133078417.6,229247.92,2.8545,
Rice,2007.0,Kharif     ,Haryana,1072545.0,3606000.0,443.8,143077503.0,171607.2,3.191578947,
Rice,2008.0,Kharif     ,Haryana,1211149.0,3299000.0,715.6,173242753.0,109003.41,2.569,
Rice,2009.0,Kharif     ,Haryana,1206435.0,3628000.0,393.0,187986701.7,205093.95,2.673809524,
Rice,2010.0,Kharif     ,Haryana,1243281.0,3465000.0,639.2,206521406.9,298387.44,2.561428571,
Rice,2011.0,Kharif     ,Haryana,1234094.0,3574300.0,471.5409091,206735426.9,407251.02,2.63047619,
Rice,2012.0,Kharif     ,Haryana,1206255.0,3941000.0,307.9,181903254.0,373939.05,3.041,
Rice,2013.0,Kharif     ,Haryana,1244000.0,4041000.0,452.2,179745560.0,335880.0,3.112,
Rice,2014.0,Kharif     ,Haryana,1277000.0,3989000.0,301.3,192775920.0,421410.0,2.9465,
Rice,2015.0,Kharif     ,Haryana,1353000.0,4142000.0,426.8,213652230.0,446490.0,2.963,
Rice,2016.0,Kharif     ,Haryana,1384700.0,4451000.0,554.7,212205275.0,484645.0,2.9505,
Rice,2017.0,Kharif     ,Haryana,1422100.0,4880000.0,417.1,223895424.0,540398.0,3.096190476,
Rice,2018.0,Kharif     ,Haryana,1447000.0,4516000.0,533.2,234703400.0,506450.0,2.94952381,
Rice,2019.0,Kharif     ,Haryana,1558900.0,5194600.0,351.8,267756664.0,576793.0,3.048095238,
Rice,1997.0,Kharif     ,Haryana,913000.0,2556000.0,661.2,86890210.0,283030.0,2.730588235,
